Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Climate change,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66620b046e5aa323699893c5,5720a9f6fd3a5200113c1891,APPROVED,Not Applicable,2024-06-06T19:16:23.966000Z,2024-06-06T19:35:17.352000Z,2024-06-07T18:44:19.401000Z,2024-06-06T19:35:30.219762Z,1134.0,CWCSHZAX,6555,No,52,Female,White,United States,United States,United States,English,No,Full-Time
66620b104a9e6c43497fb91e,64394a1454202dfbace21e90,APPROVED,Not Applicable,2024-06-06T19:17:44.120000Z,2024-06-06T20:08:41.227000Z,2024-06-07T18:44:19.648000Z,2024-06-06T20:12:41.019647Z,3058.0,CWCSHZAX,1213,Don't know,50,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66620b1728f0722a3733b4e0,56494d5b6902220012c4acb7,APPROVED,Not Applicable,2024-06-06T19:16:44.976000Z,2024-06-06T19:27:33.615000Z,2024-06-07T18:44:19.893000Z,2024-06-06T19:27:34.115460Z,649.0,CWCSHZAX,5767,Don't know,62,Female,White,United States,United States,United States,English,No,Part-Time
66620b180dead2fa51dfdcb1,660c16b733bd2841d3f1b444,APPROVED,Not Applicable,2024-06-06T19:16:50.224000Z,2024-06-06T19:28:33.973000Z,2024-06-07T18:44:20.124000Z,2024-06-06T19:28:35.001591Z,704.0,CWCSHZAX,6,No,27,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
66620b30d37f5e964b55ded1,60a2b9a6ad671cebb06f2b0d,APPROVED,Not Applicable,2024-06-06T19:17:10.278000Z,2024-06-06T19:35:56.632000Z,2024-06-07T18:44:20.350000Z,2024-06-06T19:35:57.112324Z,1127.0,CWCSHZAX,6059,No,95,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66620b53384f35344533b47f,647f5b72256d6f1e6fe0d7b7,APPROVED,Not Applicable,2024-06-06T19:17:43.628000Z,2024-06-06T19:48:25.059000Z,2024-06-07T18:44:20.609000Z,2024-06-06T19:48:44.466665Z,1842.0,CWCSHZAX,2238,No,55,Male,White,Portugal,United States,United States,English,No,DATA_EXPIRED
66620b72d94e5cb49f62db3a,62e42aaad0079d2ff8e97597,APPROVED,Not Applicable,2024-06-06T19:21:52.091000Z,2024-06-06T19:33:54.058000Z,2024-06-07T18:44:21.280000Z,2024-06-06T19:34:26.122232Z,722.0,CWCSHZAX,3206,Don't know,32,Female,White,United States,United States,United States,English,No,Full-Time
66620b7797325bfb95f3b37d,65bdc95942494ba9f82faed4,APPROVED,Not Applicable,2024-06-06T19:18:19.098000Z,2024-06-06T19:26:15.580000Z,2024-06-07T18:44:21.511000Z,2024-06-06T19:26:16.146295Z,477.0,CWCSHZAX,201,Don't know,22,Male,Asian,United States,United States,Vietnam,English,Yes,Unemployed (and job seeking)
66620b81a281694ec90140de,628409abe8772d1f138b7f14,APPROVED,Not Applicable,2024-06-06T19:18:29.818000Z,2024-06-06T19:38:58.622000Z,2024-06-07T18:44:21.740000Z,2024-06-06T19:38:59.486882Z,1229.0,CWCSHZAX,3831,Don't know,51,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
66620b990daabf601f4aa9ba,63e885e4e1fc973179d56f63,APPROVED,Not Applicable,2024-06-06T19:21:51.676000Z,2024-06-06T19:31:17.514000Z,2024-06-07T18:44:21.995000Z,2024-06-06T19:31:18.000821Z,566.0,CWCSHZAX,3790,Don't know,42,Female,White,United States,United States,United States,English,No,Full-Time
66620bb00dead2fa51dfdcd4,614fdfcd552f1cd4e0d8b8f5,APPROVED,Not Applicable,2024-06-06T19:19:17.261000Z,2024-06-06T19:38:07.837000Z,2024-06-07T18:44:22.217000Z,2024-06-06T19:38:08.330269Z,1131.0,CWCSHZAX,2183,No,62,Female,White,United States,United States,United States,English,No,Other
66620bf01af904410985451c,6660618de6dc148f5fd91432,APPROVED,Not Applicable,2024-06-06T19:20:21.776000Z,2024-06-06T19:34:22.635000Z,2024-06-07T18:44:22.448000Z,2024-06-06T19:34:45.805838Z,841.0,CWCSHZAX,3,No,27,Male,White,United States,United States,United States,English,No,Due to start a new job within the next month
66620bf4f3be060d78145a8c,66565c3377b7df053234067d,APPROVED,Not Applicable,2024-06-06T19:20:31.948000Z,2024-06-06T19:41:31.584000Z,2024-06-07T18:44:22.655000Z,2024-06-06T19:42:15.453891Z,1260.0,CWCSHZAX,21,No,71,Male,White,Mexico,United States,Mexico,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66620c04f00fd6264e417d56,64010a38650fe3a1a2de05a9,APPROVED,Not Applicable,2024-06-06T19:20:41.352000Z,2024-06-06T19:32:41.276000Z,2024-06-07T18:44:22.872000Z,2024-06-06T19:33:14.642292Z,720.0,CWCSHZAX,1504,No,36,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66620c29cf7d7c1213593861,634a438cfb067e3f0e689d31,APPROVED,Not Applicable,2024-06-06T19:21:19.032000Z,2024-06-06T19:38:41.711000Z,2024-06-07T18:44:23.086000Z,2024-06-06T19:38:42.188291Z,1043.0,CWCSHZAX,545,Don't know,48,Prefer not to say,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66620c2a511e9c0f471b0cf9,656895b98a551bd79eb47d0c,APPROVED,Not Applicable,2024-06-06T19:21:19.525000Z,2024-06-06T19:34:23.344000Z,2024-06-07T18:44:23.315000Z,2024-06-06T19:34:45.615842Z,784.0,CWCSHZAX,1220,No,28,Male,White,United States,United States,United States,English,No,Full-Time
66620c3c40a41d7bfb590e66,5c38f43bb594c40001212d39,APPROVED,Not Applicable,2024-06-06T19:21:39.376000Z,2024-06-06T19:32:51.351000Z,2024-06-07T18:44:23.573000Z,2024-06-06T19:33:24.018262Z,672.0,CWCSHZAX,6899,Don't know,75,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
66620c41ab69ef83a0d8a95a,65bd2b79e79a2385ead521b5,APPROVED,Not Applicable,2024-06-06T19:21:50.001000Z,2024-06-06T19:40:56.395000Z,2024-06-07T18:44:23.860000Z,2024-06-06T19:41:09.511860Z,1147.0,CWCSHZAX,696,No,75,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66620c43ec34f31ab08d4b75,5c92870723bd7e001870138e,APPROVED,Not Applicable,2024-06-06T19:22:36.769000Z,2024-06-06T19:39:33.223000Z,2024-06-07T18:44:24.091000Z,2024-06-06T19:39:40.555397Z,1017.0,CWCSHZAX,6534,Don't know,80,Male,White,United States,United States,United States,English,DATA_EXPIRED,Other
66620c52612c7c6a1e196a13,6529446b22e013a7d4464d2a,TIMED-OUT,Not Applicable,2024-06-06T19:22:04.485000Z,,,2024-06-26T18:43:57.378554Z,1725714.0,,179,Don't know,49,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66620c5e8525dad02da9a63d,66438d2064e4abfff5abc4ec,APPROVED,Not Applicable,2024-06-06T19:22:09.917000Z,2024-06-06T19:31:06.340000Z,2024-06-07T18:44:24.303000Z,2024-06-06T19:31:06.809521Z,537.0,CWCSHZAX,140,Don't know,34,Female,White,United States,United States,United States,English,No,Full-Time
66620c5ff36f94fe9bec2bce,665c0557876948c40b2350d6,APPROVED,Not Applicable,2024-06-06T19:22:15.094000Z,2024-06-06T19:33:27.514000Z,2024-06-07T18:44:24.535000Z,2024-06-06T19:34:09.633231Z,673.0,CWCSHZAX,43,Don't know,41,Female,White,United States,United States,United States,English,No,Full-Time
66620c62d96dc723aa716947,63eba5467742a331ea0cf4db,APPROVED,Not Applicable,2024-06-06T19:22:18.735000Z,2024-06-06T19:30:38.505000Z,2024-06-07T18:44:24.761000Z,2024-06-06T19:30:39.112801Z,500.0,CWCSHZAX,617,No,46,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
66620c7d81deebdb0787146f,6471b26cb3e0f5a1cf566043,APPROVED,Not Applicable,2024-06-06T19:22:48.450000Z,2024-06-06T19:47:27.742000Z,2024-06-07T18:44:25.063000Z,2024-06-06T19:47:44.697019Z,1480.0,CWCSHZAX,783,Don't know,54,Male,Black,United States,United States,United States,English,No,Full-Time
66620c9c0eda9a70e4593916,656907a16ea276f3fef47618,APPROVED,Not Applicable,2024-06-06T19:29:14.868000Z,2024-06-06T19:50:16.705000Z,2024-06-07T18:44:25.393000Z,2024-06-06T19:52:09.568965Z,1262.0,CWCSHZAX,1210,No,52,Female,Mixed,France,United States,United States,French,No,Full-Time
66620ca406db2d517c3d2a95,65de38960d4f2144350e67a2,RETURNED,Not Applicable,2024-06-06T19:34:00.673000Z,,,2024-06-26T18:43:57.418115Z,,,481,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66620ca8890b0cd3c563212b,640b735104dec27f0afa4f12,APPROVED,Not Applicable,2024-06-06T19:23:26.224000Z,2024-06-06T19:34:40.536000Z,2024-06-07T18:44:25.631000Z,2024-06-06T19:35:05.039430Z,675.0,CWCSHZAX,3026,Don't know,52,Male,White,United States,United States,United States,English,No,Full-Time
66620cacd8f7dab64eca082e,5fb7c9683359973a5ebb4076,APPROVED,Not Applicable,2024-06-06T19:23:45.432000Z,2024-06-06T19:32:50.730000Z,2024-06-07T18:44:25.884000Z,2024-06-06T19:33:23.275308Z,546.0,CWCSHZAX,2615,Don't know,45,Male,White,United States,United States,United States,English,No,Full-Time
66620cb13e0cf102d14d01e9,63eceb160f69b779c757c48b,APPROVED,Not Applicable,2024-06-06T19:23:47.382000Z,2024-06-06T19:35:24.889000Z,2024-06-07T18:44:26.106000Z,2024-06-06T19:35:33.319634Z,698.0,CWCSHZAX,2825,No,60,Female,White,United States,United States,United States,English,No,Part-Time
66620cbb5def1ae56227ca98,5c7afb18de6f7900150c33d2,APPROVED,Not Applicable,2024-06-06T19:23:46.461000Z,2024-06-06T19:37:30.108000Z,2024-06-07T18:44:26.343000Z,2024-06-06T19:37:30.650113Z,824.0,CWCSHZAX,2365,No,71,Male,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66620cf1384f35344533b4f9,5e1f8fbfb202032c463f3e06,APPROVED,Not Applicable,2024-06-06T19:25:04.091000Z,2024-06-06T19:51:16.959000Z,2024-06-07T18:44:26.574000Z,2024-06-06T19:54:59.862953Z,1573.0,CWCSHZAX,7229,No,63,Female,White,United States,United States,United States,English,No,Part-Time
66620d16c97aaf2db6079dee,659ac218f7d3baebf069a457,APPROVED,Not Applicable,2024-06-06T19:25:15.494000Z,2024-06-06T19:34:57.282000Z,2024-06-07T18:44:26.862000Z,2024-06-06T19:35:20.365071Z,582.0,CWCSHZAX,222,No,62,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66620d22511e9c0f471b0d38,65e75c757ba43a2d61d2b484,APPROVED,Not Applicable,2024-06-06T19:25:28.882000Z,2024-06-06T19:41:49.502000Z,2024-06-07T18:44:27.127000Z,2024-06-06T19:42:33.346239Z,981.0,CWCSHZAX,44,No,24,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66620d2785973dbaabd31236,5c1a7f152a85450001a876e0,APPROVED,Not Applicable,2024-06-06T19:25:35.614000Z,2024-06-06T19:43:51.882000Z,2024-06-07T18:44:27.395000Z,2024-06-06T19:44:27.066807Z,1097.0,CWCSHZAX,4705,Don't know,55,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
66620d27f61c44c2e9246dc0,65980f73048d02626828cd2c,RETURNED,Not Applicable,2024-06-06T19:30:55.393000Z,,,2024-06-26T18:43:57.389276Z,,,844,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66620d3340a41d7bfb590ea6,63fa6f8dc3d4ec40b5397847,APPROVED,Not Applicable,2024-06-06T19:25:45.129000Z,2024-06-06T19:37:44.967000Z,2024-06-07T18:44:27.638000Z,2024-06-06T19:37:45.476847Z,720.0,CWCSHZAX,1514,No,70,Female,White,United States,United States,United States,English,No,Part-Time
66620d4653ae1070aef27097,664e7e50cc2f56fd62fe1f9e,APPROVED,Not Applicable,2024-06-06T19:26:29.318000Z,2024-06-06T19:36:20.128000Z,2024-06-07T18:44:27.860000Z,2024-06-06T19:36:20.518794Z,591.0,CWCSHZAX,60,No,28,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66620d4f7e85da88b17d6557,55b6ed4afdf99b437183fa6f,APPROVED,Not Applicable,2024-06-06T19:30:03.841000Z,2024-06-06T19:52:28.240000Z,2024-06-07T18:44:28.083000Z,2024-06-06T19:55:08.618998Z,1345.0,CWCSHZAX,5484,No,51,Female,White,United States,United States,United States,English,No,Full-Time
66620d61ea3e57bea6eb4610,60e61c77014244762b8a13e2,APPROVED,Not Applicable,2024-06-06T19:26:30.377000Z,2024-06-06T19:38:33.900000Z,2024-06-07T18:44:28.301000Z,2024-06-06T19:38:34.415611Z,724.0,CWCSHZAX,2828,Don't know,52,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66620d7faa79e7666778aa3a,632a1ae0d2c0c28e680e9c5a,APPROVED,Not Applicable,2024-06-06T19:26:59.593000Z,2024-06-06T19:34:35.983000Z,2024-06-07T18:44:28.541000Z,2024-06-06T19:35:00.519688Z,457.0,CWCSHZAX,379,No,39,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66620d8b14dba3de83030c09,6126ecc3ebef11936ed8bfcb,APPROVED,Not Applicable,2024-06-06T19:30:36.315000Z,2024-06-06T19:41:34.192000Z,2024-06-07T18:44:28.805000Z,2024-06-06T19:42:18.175460Z,658.0,CWCSHZAX,6699,No,50,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66620d8d79f662803eff163b,5f14d1c6ed1d355640101321,APPROVED,Not Applicable,2024-06-06T19:27:16.149000Z,2024-06-06T19:56:52.957000Z,2024-06-07T18:44:29.042000Z,2024-06-06T19:56:55.469186Z,1777.0,CWCSHZAX,1122,No,54,Female,White,United States,United States,United States,English,No,Part-Time
66620d9d890b0cd3c5632182,6137ebb74197e0473d1318e3,APPROVED,Not Applicable,2024-06-06T19:27:35.068000Z,2024-06-06T19:40:17.725000Z,2024-06-07T18:44:29.264000Z,2024-06-06T19:40:28.997754Z,763.0,CWCSHZAX,4824,No,54,Male,White,United States,United States,United States,English,No,Full-Time
66620da1c60d661bc7792f58,60c64998f871d5c80a7ed14c,APPROVED,Not Applicable,2024-06-06T19:27:40.459000Z,2024-06-06T19:35:04.547000Z,2024-06-07T18:44:29.481000Z,2024-06-06T19:35:22.797681Z,445.0,CWCSHZAX,2148,Don't know,25,Male,White,United States,United States,United States,English,No,Full-Time
66620dc824e026748f41bf00,607778a26ff3de83125f50c5,APPROVED,Not Applicable,2024-06-06T19:28:12.285000Z,2024-06-06T19:33:07.708000Z,2024-06-07T18:44:29.843000Z,2024-06-06T19:33:50.224038Z,296.0,CWCSHZAX,3019,No,37,Male,Asian,India,United States,United States,English,No,Other
66620dc914dba3de83030c13,602c7d31733e6a57dda83b9d,APPROVED,Not Applicable,2024-06-06T19:28:13.974000Z,2024-06-06T19:32:09.968000Z,2024-06-07T18:44:30.068000Z,2024-06-06T19:32:24.245403Z,236.0,CWCSHZAX,3624,No,50,Male,White,United States,United States,United States,English,No,Full-Time
66620dc98ed85217ecb07264,6658d167589d777bab78b6cf,APPROVED,Not Applicable,2024-06-06T19:28:14.242000Z,2024-06-06T19:37:55.064000Z,2024-06-07T18:44:30.287000Z,2024-06-06T19:37:55.525785Z,581.0,CWCSHZAX,11,No,32,Male,White,United States,United States,United States,English,No,Part-Time
66620dd182f1c47a251d8dd1,5f0d2ad60ad0d6730c380b05,APPROVED,Not Applicable,2024-06-06T19:28:17.136000Z,2024-06-06T20:09:09.975000Z,2024-06-07T18:44:30.511000Z,2024-06-06T20:12:48.564889Z,2453.0,CWCSHZAX,3525,No,51,Male,DATA_EXPIRED,United States,United States,United States,English,No,DATA_EXPIRED
66620df07d44419f13ca8e71,607ba9f40639e8a2c931d622,APPROVED,Not Applicable,2024-06-06T19:29:01.125000Z,2024-06-06T19:36:04.565000Z,2024-06-07T18:44:30.770000Z,2024-06-06T19:36:05.077846Z,424.0,CWCSHZAX,1730,Don't know,48,Female,White,United States,United States,United States,English,No,Full-Time
66620df128f0722a3733b594,665f8460cb17ece2fa679d4a,APPROVED,Not Applicable,2024-06-06T19:28:55.753000Z,2024-06-06T19:40:19.006000Z,2024-06-07T18:44:31.004000Z,2024-06-06T19:40:30.899590Z,684.0,CWCSHZAX,24,No,42,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
