Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,U.s. political affiliation,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
667c94df1d64bb3fa2890437,6516d778be0576dd1e3ea11a,AWAITING REVIEW,Not Applicable,2024-06-26T22:23:36.966000Z,2024-06-26T22:35:35.322000Z,,2024-06-26T22:37:40.273072Z,719.0,C1DPSPJ5,1190,English,Republican,51,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
667c94e2c382a0e3caee3c01,60dfd857e293a99dd577f4c8,APPROVED,Not Applicable,2024-06-26T22:23:39.755000Z,2024-06-26T22:35:56.032000Z,2024-06-28T12:24:33.961000Z,2024-06-26T22:37:45.366470Z,737.0,C1DPSPJ5,6455,English,Republican,67,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667c94ec0b22ce94118e2bc5,666aefa4cf53065a38e0c7e1,AWAITING REVIEW,Not Applicable,2024-06-26T22:23:49.943000Z,2024-06-26T22:34:39.816000Z,,2024-06-26T22:34:41.544695Z,650.0,C1DPSPJ5,41,English,Democrat,43,Female,White,United States,United States,United States,English,No,Full-Time
667c94fb429d17e26ef5e6bd,64947980de05e8ce37b3bc98,APPROVED,Not Applicable,2024-06-26T22:24:38.459000Z,2024-06-26T22:47:22.295000Z,2024-06-28T12:27:16.809000Z,2024-06-26T22:48:01.110490Z,1364.0,C1DPSPJ5,3121,English,Independent,53,Male,White,United States,United States,United States,English,No,Part-Time
667c94fd3668a5af4baf2fed,63155191fb9b81d41eb89df6,APPROVED,Not Applicable,2024-06-26T22:24:06.847000Z,2024-06-26T22:39:06.398000Z,2024-06-28T12:23:36.644000Z,2024-06-26T22:39:07.093277Z,900.0,C1DPSPJ5,1621,English,Democrat,71,Female,White,United States,United States,United States,English,No,Other
667c9500b413fd17bc3db44e,5bf1f1cd7c3874000169ea98,APPROVED,Not Applicable,2024-06-26T22:24:25.528000Z,2024-06-26T22:36:55.237000Z,2024-06-28T12:23:36.923000Z,2024-06-26T22:38:02.334361Z,750.0,C1DPSPJ5,3077,English,Democrat,61,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667c9507312ae616eee6d25a,60eb1a7c95641da67ae7d611,APPROVED,Not Applicable,2024-06-26T22:25:03.673000Z,2024-06-26T22:39:05.690000Z,2024-06-28T12:24:34.504000Z,2024-06-26T22:39:06.694331Z,843.0,C1DPSPJ5,6357,English,Republican,65,Female,White,United States,United States,United States,English,No,Part-Time
667c95102658a8afa74b767d,6488e429e530a1949174c9f4,AWAITING REVIEW,Not Applicable,2024-06-26T22:24:33.379000Z,2024-06-26T22:34:06.757000Z,,2024-06-26T22:34:35.420187Z,574.0,C1DPSPJ5,2807,English,Democrat,62,Male,Black,United States,United States,United States,English,No,Full-Time
667c9525f1bc726273618d41,61282ca83be28773ac7c421f,APPROVED,Not Applicable,2024-06-26T22:25:55.678000Z,2024-06-26T23:21:12.360000Z,2024-06-28T12:26:47.218000Z,2024-06-26T23:21:15.981551Z,3317.0,C1DPSPJ5,2752,English,Independent,44,Female,White,United States,United States,United States,English,No,Part-Time
667c952884103ca37c23c140,64ee18fad7ff63875d973306,APPROVED,Not Applicable,2024-06-26T22:24:53.278000Z,2024-06-26T22:38:42.774000Z,2024-06-28T12:26:47.728000Z,2024-06-26T22:38:43.444042Z,830.0,C1DPSPJ5,1345,English,Independent,35,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
667c95344b12627bc92722c5,6647b851686419f12c0894c5,APPROVED,Not Applicable,2024-06-26T22:25:04.126000Z,2024-06-26T22:43:15.929000Z,2024-06-28T12:27:17.105000Z,2024-06-26T22:44:18.337511Z,1092.0,C1DPSPJ5,168,"English, Spanish",Independent,48,Male,Mixed,United States,United States,United States,Spanish,No,Full-Time
667c953f31fdb74f6ab1d24d,6674e8863e0c453308b43c27,APPROVED,Not Applicable,2024-06-26T22:25:09.342000Z,2024-06-26T22:40:08.390000Z,2024-06-28T12:26:48.186000Z,2024-06-26T22:40:08.956666Z,900.0,C1DPSPJ5,32,English,Independent,35,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
